,objid,ps_score,angDist,_RAJ2000,_DEJ2000,Filt1,Filt2,RAJ2000,DEJ2000,ABmag1,mag1,Errmag1,Field1,RA2deg,DE2deg,ABmag2,mag2,Errmag2,Field2,Sep,objID,RAJ2000.1,DEJ2000.1,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
1,156220096437009650,0.6213095,0.218721,9.6438,40.1909,FUVCaF2,FUVSapphire,9.6438,40.1909,21.762,19.361,0.128,15,9.6437,40.1909,22.299,20.178,0.15,15,0.19,156220096437009650,9.643761,40.19084705,0.049,0.023,0,436527104,52,55889.2347338,3,36,21.248,0.0402,21.3327,0.0795,115000,21.5735,0.0449,21.7653,0.0648,115000,21.7263,0.056,21.8934,0.2391,115000,,,,,16416,,,,,16416
3,156380098067731036,0.8854167,0.197373,9.8069,40.317,FUVCaF2,FUVSapphire,9.8069,40.317,22.082,19.681,0.152,15,9.8068,40.317,22.228,20.107,0.147,15,0.33,156380098067731036,9.80683453,40.31702267,0.028,0.02,0,436527104,52,55959.12534722,4,30,21.0241,0.0255,21.244,0.0285,115000,21.1769,0.0264,21.3437,0.1428,115000,21.4148,0.0684,21.7837,0.2092,115000,,,,,114720,,,,,16416
4,156230100977399002,0.98913693,0.438628,10.0976,40.1985,FUVCaF2,FUVSapphire,10.0976,40.1985,22.707,20.306,0.199,19,10.0977,40.1985,22.066,19.945,0.127,19,0.31,156230100977399002,10.09771771,40.19858223,0.007,0.005,90,503635968,60,55851.7052662,5,74,14.1833,0.0021,14.242,0.0033,115000,13.8891,0.0031,13.9268,0.0022,115000,13.7775,0.0022,13.8308,0.0022,115000,13.7909,0.0038,13.8274,0.0029,115000,13.7681,0.0038,13.7914,0.003,115000
5,156330104086717519,0.974375,0.251129,10.4086,40.2807,FUVCaF2,FUVSapphire,10.4086,40.2807,22.69,20.289,0.191,19,10.4086,40.2807,22.787,20.666,0.186,19,0.11,156330104086717519,10.40868649,40.28067736,0.08,0.031,0,906289152,108,56045.00585648,5,64,13.239,,,,114724,12.862,,,,114724,12.717,,,,114724,12.656,,,,114724,12.5919,0.0036,12.6049,0.0032,115000
6,156350098953805332,0.95208335,0.163882,9.8954,40.2955,FUVCaF2,FUVSapphire,9.8954,40.2955,19.919,17.518,0.063,15,9.8954,40.2955,20.245,18.124,0.064,15,0.19,156350098953805332,9.89545937,40.29549533,0.017,0.011,0,436527104,52,55792.26826389,5,30,19.9993,0.0093,20.0869,0.0218,115000,20.297,0.0171,20.4853,0.0309,115000,20.7129,0.0404,21.119,0.0655,115000,20.7811,0.1171,20.8006,0.1505,115000,20.5503,0.2542,,,118840
7,156110100482184787,0.5495893,0.205748,10.0484,40.0953,FUVCaF2,FUVSapphire,10.0484,40.0953,21.479,19.078,0.116,19,10.0484,40.0953,21.304,19.183,0.095,19,0.08,156110100482184787,10.04836006,40.0952517,0.136,0.06,0,436527104,52,55856.21159722,6,20,21.4932,0.0307,21.4884,0.1337,115000,21.8407,0.0873,21.6199,0.1344,115000,21.8723,0.1665,21.9277,0.314,115000,,,,,16416,,,,,16416
9,156190096641658283,0.9309137,0.186861,9.6642,40.1646,FUVCaF2,FUVSapphire,9.6642,40.1646,22.553,20.152,0.191,15,9.6642,40.1646,22.293,20.172,0.152,15,0.09,156190096641658283,9.66418515,40.16465065,0.029,0.018,90,436527104,52,56001.63008102,5,65,19.7193,0.0148,19.8153,0.0242,115000,19.8827,0.0324,20.0208,0.0126,115000,20.077,0.0119,20.1714,0.026,115000,20.1443,0.0271,20.2658,0.0506,115000,19.9648,0.052,19.9034,0.2,115000
14,156240097158064153,0.99791664,0.294127,9.7158,40.2028,FUVCaF2,FUVSapphire,9.7158,40.2028,22.773,20.372,0.199,15,9.7156,40.2028,23.189,21.068,0.221,15,0.54,156240097158064153,9.71583849,40.20287623,0.017,0.007,90,503635968,60,55841.77021991,5,73,13.8337,0.0017,13.894,0.0018,115000,13.4784,0.0028,13.5173,0.0037,16892216,13.409,,,,114724,13.3615,0.0034,13.4105,0.0017,115000,13.3353,0.0032,13.3579,0.0028,115000
15,156090101139252987,0.94175,0.249749,10.1139,40.0769,FUVCaF2,FUVSapphire,10.1139,40.0769,20.745,18.344,0.086,19,10.1139,40.077,20.808,18.687,0.078,19,0.09,156090101139252987,10.11386526,40.07696408,0.022,0.013,0,436527104,52,55829.65775463,5,42,20.5316,0.0183,20.7329,0.0425,115000,20.8459,0.0236,20.9317,0.0649,115000,21.1861,0.0642,21.2634,0.1949,115000,20.8566,0.3051,,,115000,,,,,114720
16,156240099895844485,0.60177976,0.610185,9.9895,40.203,FUVCaF2,FUVSapphire,9.9895,40.203,22.499,20.098,0.128,"15, 19",9.9895,40.203,22.566,20.445,0.123,"15, 19",0.15,156240099895844485,9.98946647,40.20316755,0.082,0.058,0,436527104,52,55873.92565972,3,13,21.7853,0.0378,22.0279,0.0898,115000,22.0409,0.0647,21.6391,0.3125,115000,,,,,114720,,,,,16416,,,,,16416
17,156380098751458890,0.8555,0.179121,9.8752,40.3235,FUVCaF2,FUVSapphire,9.8752,40.3235,22.778,20.377,0.22,15,9.8751,40.3235,22.187,20.066,0.141,15,0.31,156380098751458890,9.87515625,40.32353692,0.039,0.024,0,436527104,52,55925.57398148,3,26,21.1362,0.0409,21.2305,0.0602,115000,21.3604,0.041,21.3997,0.0884,115000,21.6546,0.0762,21.8305,0.0891,115000,20.4704,0.1974,,,20536,,,,,16416
19,156330102788220597,0.972625,0.380787,10.2787,40.275,FUVCaF2,FUVSapphire,10.2787,40.275,20.678,18.277,0.083,19,10.2788,40.275,20.938,18.817,0.083,19,0.12,156330102788220597,10.27879743,40.27492475,0.025,0.014,0,436527104,52,55927.64429398,4,35,20.4824,0.0184,20.5993,0.0124,115000,20.7765,0.0186,20.9852,0.0424,115000,21.1452,0.0523,21.3219,0.0382,115000,21.4004,0.2651,21.8314,0.3055,115000,,,,,16416
20,156340100627246655,0.7092083,0.164302,10.0627,40.2883,FUVCaF2,FUVSapphire,10.0627,40.2883,21.134,18.733,0.071,"15, 19",10.0627,40.2883,21.269,19.148,0.068,"15, 19",0.08,156340100627246655,10.06274693,40.28832831,0.038,0.025,0,436527104,52,55878.58300926,5,21,21.1305,0.029,21.1417,0.0763,115000,21.3415,0.0374,21.3365,0.0686,115000,21.418,0.1067,21.4602,0.1593,16892216,,,,,16416,,,,,16416
22,156340102994055460,0.9357917,0.178041,10.2995,40.2874,FUVCaF2,FUVSapphire,10.2995,40.2874,21.192,18.791,0.104,19,10.2993,40.2874,21.152,19.031,0.09,19,0.32,156340102994055460,10.29943517,40.28739947,0.027,0.018,0,436527104,52,55953.69311343,5,34,21.014,0.0315,21.1308,0.0429,115000,21.0419,0.0491,21.1611,0.0769,115000,21.1228,0.0275,21.2802,0.0838,115000,21.1304,0.1806,,,115000,,,,,114720
25,156110100757813044,0.7177381,0.140721,10.0758,40.0937,FUVCaF2,FUVSapphire,10.0758,40.0937,21.206,18.805,0.102,19,10.0758,40.0936,21.298,19.177,0.095,19,0.15,156110100757813044,10.07583812,40.09367397,0.07,0.043,0,436527104,52,55870.33594907,6,19,21.4923,0.0418,21.6185,0.0509,115000,21.7806,0.0683,21.5988,0.1353,115000,22.0558,0.1807,,,115000,,,,,16416,,,,,16416
30,156390099151975360,0.6236761,0.179267,9.9151,40.329,FUVCaF2,FUVSapphire,9.9151,40.329,20.373,17.972,0.075,15,9.9151,40.3289,20.426,18.305,0.069,15,0.13,156390099151975360,9.91514195,40.32896183,0.024,0.012,0,436527104,52,56018.43519676,5,39,20.3467,0.0381,20.3583,0.0399,115000,20.5401,0.0494,20.3043,0.0295,16892216,20.9478,0.0445,21.0951,0.0676,115000,21.2127,0.1573,21.2807,0.2615,115000,,,,,114720
31,156390099024568011,0.77533334,0.36223,9.9023,40.3311,FUVCaF2,FUVSapphire,9.9023,40.3311,22.153,19.752,0.164,15,9.9024,40.3312,22.081,19.96,0.137,15,0.16,156390099024568011,9.90241173,40.33115357,0.034,0.019,0,436527104,52,56019.15898148,5,30,20.9071,0.0303,21.0589,0.0662,115000,21.0549,0.0143,21.3033,0.1109,115000,21.1548,0.0621,20.9983,0.1561,115000,20.8895,0.12,,,115000,19.9764,0.2522,,,118840
