filter,wavelength,bandwidth,effective_area,sky_brightness,plate_scale,aperture,dark_current,read_noise
UVIT NUV,2418,767,40,24.5,1.5,4.5,0,0
UVIT FUV,1541,372,10,25,1.5,4.5,0,0
GALEX NUV,2304,768,44,27,1.5,15.9,0,0
GALEX FUV,1549,228,25,28,1.5,12.6,0,0
LSST LU,3751,516,110835.4,23.08,0.2,1.8,2,5
LSST LG,4741,1461,199503.7,21.9,0.2,1.8,2,5
EUCLID V,6872,3698,4841.756,21.4,0.1,0.45,6.00E-04,3.6
EUCLID VEX,6872,3698,4841.756,21.4,0.1,1.29,6.00E-04,3.6
INSIST UV,2250,1500,1042.30504,27.5 ,0.15,0.6,0.1,3
INSIST U,3641,700,2676.5312,23.08,0.15,0.6,0.1,3
INSIST G,4705,1523,2854.96665,21.9,0.15,0.6,0.1,3
INSIST NUV,2625,750,1659.63719,25.5,0.15,0.6,0.1,3
INSIST FUV,1875,750,1659.63719,30,0.15,0.6,0.1,3
