 X-Field	 Y-Field	Sigma	e1	e2	EPS
-0.2500	-0.2500	6.912000	-0.001918	-0.000769	0.002066
-0.2339	-0.2500	6.904000	-0.001448	-0.000084	0.001451
-0.2177	-0.2500	6.902000	-0.001600	0.000234	0.001617
-0.2016	-0.2500	6.904000	-0.002247	0.000294	0.002266
-0.1855	-0.2500	6.911000	-0.003276	0.000188	0.003282
-0.1694	-0.2500	6.920000	-0.004585	-0.000010	0.004585
-0.1532	-0.2500	6.930000	-0.006083	-0.000242	0.006088
-0.1371	-0.2500	6.942000	-0.007681	-0.000463	0.007695
-0.1210	-0.2500	6.954000	-0.009289	-0.000644	0.009311
-0.1048	-0.2500	6.966000	-0.010858	-0.000763	0.010885
-0.0887	-0.2500	6.977000	-0.012315	-0.000811	0.012341
-0.0726	-0.2500	6.986000	-0.013607	-0.000786	0.013630
-0.0565	-0.2500	6.994000	-0.014693	-0.000693	0.014709
-0.0403	-0.2500	7.001000	-0.015536	-0.000540	0.015546
-0.0242	-0.2500	7.005000	-0.016113	-0.000343	0.016116
-0.0081	-0.2500	7.007000	-0.016405	-0.000117	0.016406
0.0081	-0.2500	7.007000	-0.016405	0.000117	0.016406
0.0242	-0.2500	7.005000	-0.016113	0.000343	0.016116
0.0403	-0.2500	7.001000	-0.015536	0.000540	0.015546
0.0565	-0.2500	6.994000	-0.014693	0.000693	0.014709
0.0726	-0.2500	6.986000	-0.013607	0.000786	0.013630
0.0887	-0.2500	6.977000	-0.012315	0.000811	0.012341
0.1048	-0.2500	6.966000	-0.010858	0.000763	0.010885
0.1210	-0.2500	6.954000	-0.009289	0.000644	0.009311
0.1371	-0.2500	6.942000	-0.007681	0.000463	0.007695
0.1532	-0.2500	6.930000	-0.006083	0.000242	0.006088
0.1694	-0.2500	6.920000	-0.004585	0.000010	0.004585
0.1855	-0.2500	6.911000	-0.003276	-0.000188	0.003282
0.2016	-0.2500	6.904000	-0.002247	-0.000294	0.002266
0.2177	-0.2500	6.902000	-0.001600	-0.000234	0.001617
0.2339	-0.2500	6.904000	-0.001448	0.000084	0.001451
0.2500	-0.2500	6.912000	-0.001918	0.000769	0.002066
-0.2500	-0.2339	6.909000	-0.001680	-0.000606	0.001786
-0.2339	-0.2339	6.904000	-0.001502	-0.000047	0.001503
-0.2177	-0.2339	6.904000	-0.001886	0.000179	0.001895
-0.2016	-0.2339	6.908000	-0.002715	0.000177	0.002720
-0.1855	-0.2339	6.916000	-0.003880	0.000032	0.003880
-0.1694	-0.2339	6.926000	-0.005287	-0.000188	0.005290
-0.1532	-0.2339	6.937000	-0.006854	-0.000427	0.006867
-0.1371	-0.2339	6.949000	-0.008483	-0.000646	0.008508
-0.1210	-0.2339	6.961000	-0.010128	-0.000816	0.010161
-0.1048	-0.2339	6.973000	-0.011708	-0.000919	0.011744
-0.0887	-0.2339	6.984000	-0.013166	-0.000947	0.013200
-0.0726	-0.2339	6.994000	-0.014454	-0.000900	0.014482
-0.0565	-0.2339	7.002000	-0.015532	-0.000782	0.015552
-0.0403	-0.2339	7.008000	-0.016368	-0.000605	0.016379
-0.0242	-0.2339	7.012000	-0.016938	-0.000382	0.016943
-0.0081	-0.2339	7.015000	-0.017227	-0.000130	0.017228
0.0081	-0.2339	7.015000	-0.017227	0.000130	0.017228
0.0242	-0.2339	7.012000	-0.016938	0.000382	0.016943
